INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
"SAVEVIEW
Zal Bilimoria
Refactor Capital
Managing Partner",n/a,"$1M
($100K - $1.5M)","Investors in San Francisco (CA), Investors in New York (NY), Investors in Los Angeles (CA), Investors in Boston (MA)","Investors in AgTech, Investors in BioTech, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in Consumer Health, Investors in Enterprise, Investors in FinTech, Investors in Health & Hospital Services, Investors in Health IT, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Alain le Loux
Cottonwood Technology Fund
General Partner",n/a,"$1.5M
($500K - $3.0M)","Investors in New Mexico, Investors in Colorado, Investors in Arizona, Investors in Texas, Investors in Utah, Investors in Europe","Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in EnergyTech, Investors in Hardware, Investors in Manufacturing, Investors in Material Science, Investors in Robotics, Investors in Semiconductors"
"SAVEVIEW
Arye Lipman
MarsBio
General Partner",n/a,"$250K
($100K - $1M)",,"Investors in AgTech, Investors in BioTech, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in Food and Beverage, Investors in Hardware, Investors in Impact, Investors in Los Angeles / Southern California (Other Lists), Investors in Material Science, Investors in Medical Devices, Investors in Pharmaceuticals, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Haider Alleg
Allegory Capital
Investor",n/a,"$600K
($300K - $3.0M)","Investors in Europe, Investors in United States","Investors in Advertising, Investors in BioTech, Investors in Chemicals (Seed), Investors in Consumer Health, Investors in Cosmetics, Investors in Health & Hospital Services, Investors in Health IT, Investors in Medical Devices, Investors in Pharmaceuticals, Investors in Real Estate/PropTech, Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Volker Berl
New Age Ventures
Managing Partner",n/a,"$300K
($100K - $1M)",Investors in United States,"Investors in BioTech, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in Consumer Health, Investors in Digital Health, Investors in EnergyTech, Investors in Medical Devices, Investors in Mobility, Investors in New York City (Other Lists), Investors in Pharmaceuticals, Investors in TransportationTech, Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Peter Crane
Luminous Ventures
Venture Partner",n/a,"$2.0M
($1.5M - $2.5M)",Investors in Europe,"Investors in AI, Investors in BioTech, Investors in Chemicals (Seed), Investors in Diagnostics, Investors in Digital Health, Investors in Hardware, Investors in London (Other Lists), Investors in Material Science, Investors in Pharmaceuticals, Investors in Robotics, Investors in Space"
"SAVEVIEW
Jacob Smith
11.2 Capital
Principal",n/a,"$1M
($250K - $2.0M)",,"Investors in AI, Investors in BioTech, Investors in Chemicals (Seed), Investors in Health & Hospital Services, Investors in Health IT, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Ginger Rothrock
HG Ventures
Partner",n/a,"$4.0M
($1M - $9.0M)",,"Investors in Chemicals (Seed), Investors in Chemicals (Series A), Investors in CleanTech/Environment, Investors in CleanTech/Environment, Investors in Female Investors (Other Lists), Investors in Manufacturing, Investors in Manufacturing, Investors in Material Science, Investors in Material Science, Investors in Midwest (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Martin Mulvihill
Managing Partner",n/a,"$500K
($200K - $1M)",,"Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in Cosmetics, Investors in Impact, Investors in Manufacturing, Investors in Material Science, Investors in San Francisco Bay Area (Other Lists), Investors in Wellness & Fitness"
"SAVEVIEW
Karolina Wojtas
Icos Capital
Associate",n/a,"$2.0M
($1M - $5.0M)",Investors in Netherlands,"Investors in AgTech, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in EnergyTech, Investors in Female Investors (Other Lists), Investors in Food and Beverage, Investors in Manufacturing, Investors in Material Science, Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Stefano Bernardi",n/a,"$10K
($10K - $100K)","Investors in Europe, Investors in California","Investors in AgTech, Investors in BioTech, Investors in Blockchain, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in EnergyTech, Investors in Food and Beverage, Investors in Hardware, Investors in Impact, Investors in Material Science, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
EK
Eric Ku
Angel",n/a,"$50K
($10K - $100K)",,"Investors in Chemicals (Seed), Investors in Consumer Internet"
"SAVEVIEW
Matt Snow",n/a,"$900K
($300K - $3.5M)",Investors in Massachusetts,"Investors in AI, Investors in AR/VR, Investors in BioTech, Investors in Blockchain, Investors in Boston / New England (Other Lists), Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in IoT, Investors in Material Science, Investors in Robotics, Investors in Space, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Anastasiya Giarletta",n/a,"$200K
($150K - $500K)",,"Investors in AI, Investors in AR/VR, Investors in BioTech, Investors in Chemicals (Seed), Investors in CleanTech/Environment, Investors in EnergyTech, Investors in Female Investors (Other Lists), Investors in Material Science, Investors in Pharmaceuticals, Investors in Robotics, Investors in Semiconductors, Investors in Investors who were founders (Other Lists)"
