INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
"SAVEVIEW
Roy Glasberg
AnD Ventures.com
Managing Partner",n/a,"$1.2M
($500K - $2.0M)",Investors in Israel,"Investors in AI, Investors in Analytics, Investors in CleanTech/Environment, Investors in Cloud Infrastructure, Investors in Consumer Health, Investors in Consumer Internet, Investors in Cybersecurity (Seed), Investors in Data Services, Investors in Developer Tools, Investors in Digital Health, Investors in Israel (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Daley Ervin
Engage Ventures
Managing Director",n/a,"$750K
($250K - $1M)",,"Investors in Analytics, Investors in Cybersecurity (Seed), Investors in Data Services, Investors in E-commerce, Investors in Enterprise Applications, Investors in Enterprise, Investors in Future of Work, Investors in IoT, Investors in Marketplaces, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in SaaS, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
JC
Jeff Carmody
Agility Capital
Managing Partner",n/a,"$750K
($250K - $2.0M)","Investors in Idaho, Investors in Utah, Investors in Nevada, Investors in Arizona, Investors in Colorado, Investors in Washington, Investors in Oregon, Investors in California","Investors in AutoTech, Investors in Consumer Health, Investors in Cybersecurity (Seed), Investors in Digital Health, Investors in Direct-to-Consumer (DTC), Investors in Enterprise Applications, Investors in Food and Beverage, Investors in Health IT, Investors in IoT, Investors in Los Angeles / Southern California (Other Lists), Investors in Medical Devices"
"SAVEVIEW
Tom Drummond
Heavybit
Managing Director",n/a,"$1M
($500K - $2.0M)","Investors in Global, Investors in San Francisco (CA)","Investors in Analytics, Investors in Cloud Infrastructure, Investors in Cryptocurrency, Investors in Cybersecurity (Seed), Investors in Data Services, Investors in Developer Tools, Investors in Enterprise Applications, Investors in Enterprise Infrastructure, Investors in Enterprise, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Rona Segev-Gal
TLV Partners
Managing Partner",n/a,"$1M
($100K - $10.0M)",Investors in Israel,"Investors in AI, Investors in Cloud Infrastructure, Investors in Cybersecurity (Seed), Investors in Israel (Other Lists)"
"SAVEVIEW
Alon Lifshitz
Hanaco Ventures
General Partner",n/a,"$1M
($250K - $2.0M)",Investors in Israel,"Investors in Cybersecurity (Seed), Investors in Enterprise Applications, Investors in Enterprise, Investors in FinTech, Investors in Israel (Other Lists), Investors in MarketingTech"
"SAVEVIEW
Judah Taub
Hetz Ventures
Managing Partner",n/a,"$1M
($100K - $10.0M)",Investors in Israel,"Investors in AI, Investors in Cybersecurity (Seed), Investors in Developer Tools, Investors in Enterprise, Investors in Israel (Other Lists), Investors in SaaS"
"SAVEVIEW
Elise Tan
Longhash Ventures
Vice President",n/a,"$50K
($50K - $1M)",,"Investors in AI, Investors in Blockchain, Investors in Consumer Health, Investors in Cryptocurrency, Investors in Cybersecurity (Seed), Investors in Digital Health, Investors in Diverse Investors (Other Lists), Investors in E-commerce, Investors in Education, Investors in Female Investors (Other Lists), Investors in Health & Hospital Services, Investors in Wellness & Fitness, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Todd Graham
Venrock
Vice President",n/a,"$1M
($100K - $1M)",Investors in SF Bay Area (CA),"Investors in Cloud Infrastructure, Investors in Cybersecurity (Seed), Investors in Enterprise, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Andy Kangpan
Two Sigma Ventures
Principal",n/a,"$4.0M
($250K - $10.0M)",Investors in New York (NY),"Investors in Blockchain, Investors in Blockchain, Investors in Cybersecurity (Seed), Investors in Cybersecurity (Series A), Investors in Enterprise Applications, Investors in Enterprise Applications, Investors in Enterprise, Investors in Enterprise, Investors in New York City (Other Lists)"
"SAVEVIEW
Shivam Satija
Dallas Venture Capital
Analyst",n/a,"$3.0M
($2.0M - $5.0M)",Investors in Dallas (TX),"Investors in AI, Investors in AI, Investors in AR/VR, Investors in AR/VR, Investors in Cloud Infrastructure, Investors in Cloud Infrastructure, Investors in Cybersecurity (Seed), Investors in Cybersecurity (Series A), Investors in Diverse Investors (Other Lists), Investors in FinTech, Investors in FinTech, Investors in Health IT, Investors in Health IT, Investors in Human Capital/HRTech, Investors in Human Capital/HRTech, Investors in IoT, Investors in IoT, Investors in SaaS, Investors in SaaS, Investors in Sales & CRM, Investors in Sales & CRM, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Patrick Chang
Cota Capital
Investor",n/a,"$8
($5 - $20)",Investors in San Francisco (CA),"Investors in Blockchain, Investors in Cloud Infrastructure, Investors in Cryptocurrency, Investors in Cybersecurity (Seed), Investors in Developer Tools, Investors in Enterprise Infrastructure, Investors in Enterprise, Investors in Gaming/eSports, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Security"
