INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
"SAVEVIEW
Mike Brown Jr
Bowery Capital
Managing Partner",n/a,"$1.8M
($1M - $2.5M)",Investors in New York (NY),"Investors in Advertising, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Enterprise, Investors in FinTech, Investors in Insurance, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Security"
"SAVEVIEW
Chris Fralic
First Round Capital
Partner",n/a,"$800K
($400K - $2.0M)",Investors in Philadelphia (PA),"Investors in Advertising, Investors in E-commerce, Investors in Gaming/eSports, Investors in IoT, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in Social Networks, Investors in Travel"
"SAVEVIEW
Zach Coelius
Coelius Capital
Managing Partner",n/a,"$500K
($200K - $1M)",Investors in SF Bay Area (CA),"Investors in Advertising, Investors in AI, Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Data Services, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Ben Ling
Bling Capital
General Partner",n/a,"$1.7M
($400K - $3.0M)",Investors in SF Bay Area (CA),"Investors in Consumer Internet, Investors in Data Services, Investors in FinTech, Investors in IoT, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Social Networks"
"SAVEVIEW
Brian Flynn
FounderPartners
Managing Partner",n/a,"$250K
($50K - $1M)","Investors in SF Bay Area (CA), Investors in New York (NY), Investors in Europe, Investors in Japan, Investors in China","Investors in AI, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Data Services, Investors in Enterprise, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Security, Investors in SMB Software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Allison Pickens
The New Normal Fund
General Partner",n/a,"$200K
($50K - $500K)",,"Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in CleanTech/Environment, Investors in Education, Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in Health IT, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in SMB Software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Kevin Swan
iNovia Capital
Venture Partner",n/a,"$1M
($100K - $5.0M)","Investors in SF Bay Area (CA), Investors in Seattle (WA), Investors in New York (NY), Investors in Utah","Investors in Analytics, Investors in Blockchain, Investors in Cryptocurrency, Investors in Enterprise, Investors in FinTech, Investors in IoT, Investors in MarketingTech (Seed), Investors in Robotics, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in SMB Software"
"SAVEVIEW
Frederik Groce
Storm Ventures
Partner",n/a,"$3.0M
($500K - $7.0M)","Investors in Seattle (WA), Investors in Atlanta (GA), Investors in Chicago (IL), Investors in Menlo Park (CA), Investors in SF Bay Area (CA), Investors in Palo Alto (CA)","Investors in AI, Investors in AI, Investors in Enterprise, Investors in Enterprise, Investors in Future of Work, Investors in Future of Work, Investors in GovTech, Investors in GovTech, Investors in Health IT, Investors in Health IT, Investors in IoT, Investors in IoT, Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in SaaS, Investors in SaaS, Investors in Sales & CRM, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Security, Investors in Security"
"SAVEVIEW
Jeff Epstein
Bessemer Venture Partners
Partner",n/a,"$50K
($20K - $100K)",Investors in San Francisco (CA),"Investors in AI, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Developer Tools, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
David Rodriguez
Draft Ventures
Managing Partner",n/a,"$300K
($250K - $500K)",Investors in San Francisco (CA),"Investors in AI, Investors in Analytics, Investors in E-commerce, Investors in Enterprise, Investors in FinTech, Investors in Future of Work, Investors in Impact, Investors in MarketingTech (Seed), Investors in Real Estate/PropTech, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Hayley Barna
First Round Capital
Partner",n/a,"$800K
($400K - $2.0M)",Investors in New York (NY),"Investors in Diverse Investors (Other Lists), Investors in E-commerce, Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in IoT, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in New York City (Other Lists)"
